iter	Passed	Remaining
726	4030	1513
727	4036	1508
728	4044	1503
729	4052	1498
730	4059	1493
731	4066	1488
732	4071	1483
733	4077	1477
734	4083	1472
735	4089	1466
736	4095	1461
737	4102	1456
738	4107	1450
739	4112	1445
740	4118	1439
741	4123	1433
742	4129	1428
743	4134	1422
744	4140	1417
745	4146	1411
746	4152	1406
747	4157	1400
748	4163	1395
749	4168	1389
750	4173	1383
751	4179	1378
752	4184	1372
753	4190	1367
754	4195	1361
755	4200	1355
756	4206	1350
757	4211	1344
758	4217	1339
759	4222	1333
760	4228	1328
761	4234	1322
762	4239	1316
763	4245	1311
764	4250	1305
765	4255	1300
766	4260	1294
767	4265	1288
768	4271	1283
769	4276	1277
770	4282	1271
771	4288	1266
772	4294	1261
773	4300	1255
774	4305	1250
775	4312	1244
776	4317	1239
777	4323	1233
778	4329	1228
779	4335	1222
780	4341	1217
781	4347	1211
782	4352	1206
783	4359	1200
784	4364	1195
785	4371	1190
786	4376	1184
787	4382	1179
788	4388	1173
789	4396	1168
790	4402	1163
791	4410	1158
792	4415	1152
793	4421	1147
794	4427	1141
795	4433	1136
796	4438	1130
797	4443	1124
798	4449	1119
799	4454	1113
800	4460	1108
801	4466	1102
802	4471	1096
803	4477	1091
804	4483	1086
805	4489	1080
806	4495	1075
807	4501	1069
808	4506	1063
809	4512	1058
810	4517	1052
811	4522	1047
812	4528	1041
813	4534	1036
814	4540	1030
815	4546	1025
816	4552	1019
817	4557	1014
818	4563	1008
819	4569	1002
820	4574	997
821	4580	991
822	4587	986
823	4593	981
824	4598	975
825	4604	969
826	4610	964
827	4616	958
828	4622	953
829	4628	947
830	4634	942
831	4640	936
832	4646	931
833	4652	925
834	4657	920
835	4663	914
836	4669	909
837	4675	903
838	4682	898
839	4688	893
840	4693	887
841	4699	881
842	4705	876
843	4711	870
844	4716	865
845	4721	859
846	4727	853
847	4731	848
848	4737	842
849	4743	837
850	4749	831
851	4754	825
852	4760	820
853	4765	814
854	4771	809
855	4777	803
856	4783	798
857	4789	792
858	4794	786
859	4800	781
860	4805	775
861	4811	770
862	4816	764
863	4822	759
864	4827	753
865	4833	747
866	4839	742
867	4845	736
868	4851	731
869	4857	725
870	4863	720
871	4869	714
872	4874	709
873	4880	703
874	4885	697
875	4891	692
876	4897	686
877	4902	681
878	4908	675
879	4914	670
880	4919	664
881	4925	658
882	4930	653
883	4936	647
884	4942	642
885	4948	636
886	4954	631
887	4959	625
888	4965	619
889	4971	614
890	4976	608
891	4982	603
892	4987	597
893	4993	592
894	4999	586
895	5005	580
896	5010	575
897	5016	569
898	5021	564
899	5027	558
900	5034	553
901	5040	547
902	5045	541
903	5050	536
904	5056	530
905	5062	525
906	5068	519
907	5073	514
908	5078	508
909	5084	502
910	5089	497
911	5095	491
912	5100	486
913	5106	480
914	5111	474
915	5116	469
916	5122	463
917	5128	458
918	5133	452
919	5139	446
920	5145	441
921	5150	435
922	5155	430
923	5161	424
924	5167	418
925	5172	413
926	5178	407
927	5183	402
928	5189	396
929	5195	391
930	5201	385
931	5206	379
932	5211	374
933	5216	368
934	5223	363
935	5228	357
936	5233	351
937	5239	346
938	5245	340
939	5250	335
940	5256	329
941	5262	324
942	5267	318
943	5273	312
944	5278	307
945	5283	301
946	5289	296
947	5294	290
948	5300	284
949	5305	279
950	5310	273
951	5316	268
952	5321	262
953	5327	256
954	5332	251
955	5338	245
956	5344	240
957	5349	234
958	5354	228
959	5360	223
960	5365	217
961	5371	212
962	5376	206
963	5382	200
964	5387	195
965	5393	189
966	5399	184
967	5405	178
968	5410	173
969	5416	167
970	5422	161
971	5428	156
972	5434	150
973	5439	145
974	5445	139
975	5450	134
976	5455	128
977	5461	122
978	5466	117
979	5472	111
980	5477	106
981	5482	100
982	5488	94
983	5493	89
984	5498	83
985	5504	78
986	5509	72
987	5515	66
988	5522	61
989	5528	55
990	5534	50
991	5539	44
992	5545	39
993	5551	33
994	5556	27
995	5561	22
996	5567	16
997	5573	11
998	5578	5
999	5584	0
